 Series|ISBN|ISBN 13|Primary Author|Author on Cover|Title|Subtitle|Original Language|Binding|Discount Type|Published Price|UK Price|Europe Price|Series|Page Count|Illustration Details|Format|Pub Year|BISAC|Territory|BISAC 1|BISAC 2|BISAC 3
64|0674995864|9780674995864|Virgil, |Virgil|Aeneid: Books 7-12. Appendix Vergiliana||Latin|Hardback|Loeb|$28,00|£19,95|€25,00|Loeb Classical Library|608|Index|4-1/4 x 6-3/8|2001|POETRY / Ancient & Classical,LITERARY CRITICISM / Ancient & Classical|World|POE008000|LIT004190|
65|0674990722|9780674990722|Plutarch, |Plutarch|Lives, Volume III|Pericles and Fabius Maximus. Nicias and Crassus|Greek, Ancient (to 1453)|Hardback|Loeb|$28,00|£19,95|€25,00|Loeb Classical Library|464|Index|4-1/4 x 6-3/8|1916|HISTORY / Ancient / Greece,LITERARY CRITICISM / Ancient & Classical|World|HIS002010|LIT004190|
66|0674990730|9780674990739|Dio Cassius, |Dio Cassius|Roman History, Volume IV|Books 41-45|Greek, Ancient (to 1453)|Hardback|Loeb|$28,00|£19,95|€25,00|Loeb Classical Library|512|Index|4-1/4 x 6-3/8|1916|HISTORY / Ancient / Rome,LITERARY CRITICISM / Ancient & Classical|World|HIS002020|LIT004190|
67|0674996887|9780674996885||W. R. Paton|The Greek Anthology, Volume I: Book 1: Christian Epigrams. Book 2: Description of the Statues in the Gymnasium of Zeuxippus. Book 3: Epigrams in the Temple of Apollonis at Cyzicus. Book 4: Prefaces to the Various Anthologies. Book 5: Erotic Epigrams||Greek, Ancient (to 1453)|Hardback|Loeb|$28,00|£19,95|€25,00|Loeb Classical Library|480|Indexes|4-1/4 x 6-3/8|2014|LITERARY COLLECTIONS / Ancient & Classical,LITERARY CRITICISM / Ancient & Classical,HISTORY / Ancient / Greece|World|LCO003000|LIT004190|HIS002010
68|0674990757|9780674990753||W. R. Paton|The Greek Anthology, Volume II: Book 7: Sepulchral Epigrams. Book 8: The Epigrams of St. Gregory the Theologian||Greek, Ancient (to 1453)|Hardback|Loeb|$28,00|£19,95|€25,00|Loeb Classical Library|528|Indexes|4-1/4 x 6-3/8|1917|LITERARY COLLECTIONS / Ancient & Classical,LITERARY CRITICISM / Ancient & Classical,HISTORY / Ancient / Greece|World|LCO003000|LIT004190|HIS002010
69|067499633X|9780674996335|Longus, ,Xenophon of Ephesus, |Longus and Xenophon of Ephesus|Daphnis and Chloe. Anthia and Habrocomes||Greek, Ancient (to 1453)|Hardback|Loeb|$28,00|£19,95|€25,00|Loeb Classical Library|384|Indexes|4-1/4 x 6-3/8|2009|POETRY / Ancient & Classical,LITERARY CRITICISM / Ancient & Classical|World|POE008000|LIT004190|
70|0674990773|9780674990777|Theophrastus, |Theophrastus|Enquiry into Plants, Volume I: Books 1-5||Greek, Ancient (to 1453)|Hardback|Loeb|$28,00|£19,95|€25,00|Loeb Classical Library|512|none|4-1/4 x 6-3/8|1916|HISTORY / Ancient / Greece,LITERARY CRITICISM / Ancient & Classical|World|HIS002010|LIT004190|
71|0674990781|9780674990784|Galen, |Galen|On the Natural Faculties||Greek, Ancient (to 1453)|Hardback|Loeb|$28,00|£19,95|€25,00|Loeb Classical Library|400|Index, glossary|4-1/4 x 6-3/8|1916|HISTORY / Ancient / Greece,MEDICAL / History,LITERARY CRITICISM / Ancient & Classical|World|HIS002010|MED039000|LIT004190
72|0674990803|9780674990807|Caesar, |Caesar|The Gallic War||Latin|Hardback|Loeb|$28,00|£19,95|€25,00|Loeb Classical Library|656|7 maps, 10 line illustrations, indexes|4-1/4 x 6-3/8|1917|HISTORY / Ancient / Rome,LITERARY CRITICISM / Ancient & Classical|World|HIS002020|LIT004190|
73|0674990811|9780674990814|Aristotle, |Aristotle|Nicomachean Ethics||Greek, Ancient (to 1453)|Hardback|Loeb|$28,00|£19,95|€25,00|Loeb Classical Library|688|Index|4-1/4 x 6-3/8|1926|PHILOSOPHY / History & Surveys / Ancient & Classical,LITERARY CRITICISM / Ancient & Classical|World|PHI002000|LIT004190|
74|0674990838|9780674990838|Boethius, |Boethius|Theological Tractates. The Consolation of Philosophy||Latin|Hardback|Loeb|$28,00|£19,95|€25,00|Loeb Classical Library|464|Index|4-1/4 x 6-3/8|1973|PHILOSOPHY / History & Surveys / Ancient & Classical,RELIGION / Christianity / History,LITERARY CRITICISM / Ancient & Classical|World|PHI002000|REL015000|LIT004190
75|0674990846|9780674990845|Seneca, |Seneca|Epistles, Volume I|Epistles 1-65|Latin|Hardback|Loeb|$28,00|£19,95|€25,00|Loeb Classical Library|496|Index|4-1/4 x 6-3/8|1917|PHILOSOPHY / History & Surveys / Ancient & Classical,LITERARY CRITICISM / Ancient & Classical|World|PHI002000|LIT004190|
76|0674990854|9780674990852|Seneca, |Seneca|Epistles, Volume II|Epistles 66-92|Latin|Hardback|Loeb|$28,00|£19,95|€25,00|Loeb Classical Library|496|Index|4-1/4 x 6-3/8|1920|PHILOSOPHY / History & Surveys / Ancient & Classical,LITERARY CRITICISM / Ancient & Classical|World|PHI002000|LIT004190|
